lat;lon;CODE;CITY;COUNTRY;MONTH;AVG_TEMP;PRCP;TSUN
13.41;103.81;REP;SIEM-REAP;CAMBODIA;August;28;0;0
13.41;103.81;REP;SIEM-REAP;CAMBODIA;September;27.48;0;0
13.41;103.81;REP;SIEM-REAP;CAMBODIA;Oktober;27.45;0;0
13.41;103.81;REP;SIEM-REAP;CAMBODIA;November;26.98;0;0
13.41;103.81;REP;SIEM-REAP;CAMBODIA;Dezember;25.83;0;0
13.5;7.13;MFG;MARADI;NIGER;Februar;25.64;0;14410
13.5;7.13;MFG;MARADI;NIGER;November;26.61;0;16939.09
13.62;25.33;ELF;EL FASHER;SUDAN;Januar;20.42;0;17925.71
13.62;25.33;ELF;EL FASHER;SUDAN;Februar;22.85;0;16227.27
13.62;25.33;ELF;EL FASHER;SUDAN;November;24.36;0;18618
13.62;25.33;ELF;EL FASHER;SUDAN;Dezember;21.2;0;19119
13.78;8.98;ZND;ZINDER;NIGER;Januar;22.33;0;17157
13.78;8.98;ZND;ZINDER;NIGER;November;27.28;0;17321.05
13.78;8.98;ZND;ZINDER;NIGER;Dezember;23.18;0;17544
13.85;20.84;AEH;ABECHE;CHAD;Januar;27.97;0;0
13.85;20.84;AEH;ABECHE;CHAD;Februar;27.86;0;18180
13.85;20.84;AEH;ABECHE;CHAD;Maerz;33.05;0;0
13.85;20.84;AEH;ABECHE;CHAD;Dezember;28.33;0;16620
14.51;-4.08;MZI;MOPTI;MALI;Dezember;24.64;0;17253
14.87;100.66;N/A;LOP BURI;THAILAND;Januar;26.73;0;0
14.88;5.27;THZ;TAHOUA;NIGER;Januar;23.45;0;16655.45
14.92;-23.49;RAI;FRANCISCO MENDEZ;CAPE VERDE ISLANDS;Januar;22.98;0;0
14.92;-23.49;RAI;FRANCISCO MENDEZ;CAPE VERDE ISLANDS;Februar;22.53;0;0
14.92;-23.49;RAI;FRANCISCO MENDEZ;CAPE VERDE ISLANDS;Maerz;22.82;0;0
14.92;-23.49;RAI;FRANCISCO MENDEZ;CAPE VERDE ISLANDS;April;23.3;0;0
14.92;-23.49;RAI;FRANCISCO MENDEZ;CAPE VERDE ISLANDS;Mai;24.18;0;0
15.24;-9.58;NIX;NIORO;MALI;Maerz;29.84;0;16587.27
15.39;36.33;KSL;KASSALA;SUDAN;Dezember;26.92;0;18960
15.59;32.55;KRT;KHARTOUM;SUDAN;Dezember;24.81;0;0
15.78;-87.48;TEA;TELA;HONDURAS;Januar;23.9;0;0
16.25;-0.01;GAQ;GAO;MALI;November;28.4;0;15773.33
16.25;-0.01;GAQ;GAO;MALI;Dezember;24.58;0;15120
16.62;-7.31;EMN;NEMA;MAURITANIA;November;29.36;0;11900
16.66;74.29;KLH;KOLHAPUR;INDIA;Januar;26.6;0;0
16.66;74.29;KLH;KOLHAPUR;INDIA;Maerz;29.65;0;0
16.83;-25.06;VXE;SAO VICENTE ISLAND;CAPE VERDE ISLANDS;Januar;22.6;0;0
16.83;-25.06;VXE;SAO VICENTE ISLAND;CAPE VERDE ISLANDS;Maerz;21.8;0;0
16.83;-25.06;VXE;SAO VICENTE ISLAND;CAPE VERDE ISLANDS;April;22.8;0;0
17.31;-62.72;SKB;BASSE TERRE;ST. KITTS & NEVIS;Januar;25.43;0;0
17.55;120.36;N/A;VIGAN;PHILIPPINES;Januar;25.21;0;0
17.63;75.94;SSE;SHOLAPUR;INDIA;Januar;24.15;0;0
17.92;19.11;FYT;FAYA-LARGEAU;CHAD;Januar;22.7;0;0
17.92;19.11;FYT;FAYA-LARGEAU;CHAD;Maerz;24.3;0;0
17.92;19.11;FYT;FAYA-LARGEAU;CHAD;Mai;28.6;0;0
17.92;19.11;FYT;FAYA-LARGEAU;CHAD;Juni;30.6;0;0
17.92;19.11;FYT;FAYA-LARGEAU;CHAD;Oktober;28.5;0;0
17.92;19.11;FYT;FAYA-LARGEAU;CHAD;November;35.3;0;14580
